"","GN","UnterGN","Quartal","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"7129","12123",2,"12/01",2012-03-20,"Grossbritannien",255,"GKV","1C351d11","1","C","351d11","Tracker"
"7130","12124",1,"12/01",2012-03-20,"China",528365,"GKV","2B201b1|2B001c1","2","B","201b1","Tracker"
"7131","12125",1,"12/01",2012-03-20,"Indonesien",8455,"GKV","2B350.i4","2","B","350i4","Tracker"
"7132","12126",1,"12/01",2012-03-20,"China",403424,"GKV","2B201b1","2","B","201b1","Tracker"
"7133","12127",1,"12/01",2012-03-21,"Vereinigte Arabische Emirate",2550,"ML (GKV)","3a","3","a","","Tracker"
"7134","12128",1,"12/01",2012-03-21,"Frankreich",695,"5.1","5.1","1","","","Tracker"
"7135","12129",1,"12/01",2012-03-21,"China",302859,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"7136","12130",1,"12/01",2012-03-21,"China",302859,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"7137","12131",1,"12/01",2012-03-21,"China",20000,"GKV","5A002a1a","5","A","002a1a","Tracker"
"7138","12132",1,"12/01",2012-03-21,"Bangladesh",48000,"GKV","5A002a1a","5","A","002a1a","Tracker"
"7139","12133",1,"12/01",2012-03-27,"Kanada",285,"ML (GKV)","3a","3","a","","Tracker"
"7140","12134",1,"12/01",2012-03-21,"Singapur",38400,"GKV","5A002a1a","5","A","002a1a","Tracker"
"7141","12135",1,"12/01",2012-03-21,"Taiwan",174000,"GKV","7B003a","7","B","003a","Tracker"
"7142","12135",2,"12/01",2012-03-21,"Taiwan",120300,"GKV","7B003a","7","B","003a","Tracker"
"7143","12136",1,"12/01",2012-03-21,"Vereinigte Arabische Emirate",521780,"ML (GKV)","11","11","","","Tracker"
"7144","12137",1,"12/01",2012-03-21,"Chile",6700,"GKV","6A003b4","6","A","003b4","Tracker"
"7145","12138",1,"12/01",2012-03-21,"Kongo-Kinshasa",8870,"ML (GKV)","4b","4","b","","Tracker"
"7146","12139",1,"12/01",2012-03-29,"Slowenien",31517,"5.2","5.2","2","","","Tracker"
"7147","12140",1,"12/01",2012-03-22,"Singapur",826874,"GKV","6A002.c1","6","A","002c1","Tracker"
"7148","12141",1,"12/01",2012-03-22,"China",699000,"GKV","2B201b1","2","B","201b1","Tracker"
"7149","12142",1,"12/01",2012-03-22,"China",798000,"GKV","2B201b1","2","B","201b1","Tracker"
"7150","12143",1,"12/01",2012-03-22,"China",178500,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"7151","12144",1,"12/01",2012-03-22,"Taiwan",4000,"GKV","2B350g2","2","B","350g2","Tracker"
"7152","12145",1,"12/01",2012-03-22,"Taiwan",35000,"GKV","2B350.g2","2","B","350g2","Tracker"
"7153","12146",1,"12/01",2012-03-22,"Russland",2970,"ChKV","2B10","2B","10","","Tracker"
"7154","12147",1,"12/01",2012-03-22,"Schweiz",950,"5.1","5.1","1","","","Tracker"
"7155","12148",1,"12/01",2012-03-22,"China",344622,"GKV","2B201b|2B001c","2","B","201b","Tracker"
"7156","12149",1,"12/01",2012-03-22,"Indien",9819,"GKV","2D202|2D002","2","D","202","Tracker"
"7157","12150",1,"12/01",2012-03-22,"Kolumbien",21800,"5.1","5.1","1","","","Tracker"
"7158","12151",1,"12/01",2012-03-22,"Singapur",225290,"GKV","2B201b1","2","B","201b1","Tracker"
"7159","12152",1,"12/01",2012-03-21,"Pakistan",600000,"unbekannt","unbekannt","","","","Tracker"
"7160","12153",1,"12/01",2012-03-21,"Indien",40000000,"unbekannt","unbekannt","","","","Tracker"
"7161","12154",1,"12/01",2012-03-23,"China",311142,"GKV","2B201a1","2","B","201a1","Tracker"
"7162","12155",1,"12/01",2012-03-23,"Russland",455086,"GKV","2B120|7B003a","2","B","120","Tracker"
"7163","12156",1,"12/01",2012-03-27,"Taiwan",375000,"GKV","2B120|7B003a","2","B","120","Tracker"
"7164","12157",1,"12/01",2012-03-23,"Hong Kong",99000,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7165","12158",1,"12/01",2012-03-23,"China",155571,"GKV","2B201a1","2","B","201a1","Tracker"
"7166","12159",1,"12/01",2012-03-23,"Singapur",16000,"GKV","5A002a1a","5","A","002a1a","Tracker"
"7167","12160",1,"12/01",2012-03-23,"Russland",240730,"GKV","2B201a|2B001b","2","B","201a","Tracker"
"7168","12161",1,"12/01",2012-03-23,"Hong Kong",495000,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7169","12162",1,"12/01",2012-03-23,"Frankreich",40000,"GKV","0B001b14","0","B","001b14","Tracker"
"7170","12163",1,"12/01",2012-03-23,"China",54430,"GKV","5D002c1","5","D","002c1","Tracker"
"7171","12164",1,"12/01",2012-03-28,"Libanon",287000,"GKV","5A001f","5","A","001f","Tracker"
"7172","12165",1,"12/01",2012-03-27,"China",10000,"GKV","500","5","0","0","Tracker"
"7173","12166",1,"12/01",2012-03-26,"Indien",12334,"GKV","5D002c1","5","D","002c1","Tracker"
"7174","12167",1,"12/01",2012-03-27,"China",641200,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7175","12168",1,"12/01",2012-03-26,"Indien",1900,"5.1","5.1","1","","","Tracker"
"7176","12169",1,"12/01",2012-03-27,"Indien",1900,"5.1","5.1","1","","","Tracker"
"7177","12170",1,"12/01",2012-03-27,"USA",15000,"GKV","0B001b14","0","B","001b14","Tracker"
"7178","12171",1,"12/01",2012-03-27,"Weissrussland",69130,"GKV","2B001a","2","B","001a","Tracker"
"7179","12172",1,"12/01",2012-03-27,"Indien",1900,"5.1","5.1","1","","","Tracker"
"7180","12173",1,"12/01",2012-03-27,"Indien",1900,"5.1","5.1","1","","","Tracker"
"7181","12174",1,"12/01",2012-03-27,"Indien",1900,"5.1","5.1","1","","","Tracker"
"7182","12175",1,"12/01",2012-03-27,"Litauen",13000,"5.1","5.1","1","","","Tracker"
"7183","12176",1,"12/01",2012-03-27,"Indien",1900,"5.1","5.1","1","","","Tracker"
"7184","12177",1,"12/01",2012-03-27,"Indien",1900,"5.1","5.1","1","","","Tracker"
"7185","12178",1,"12/01",2012-03-27,"Indien",1900,"5.1","5.1","1","","","Tracker"
"7186","12179",1,"12/01",2012-03-27,"China",30353,"GKV","5D002c1","5","D","002c1","Tracker"
"7187","12180",1,"12/01",2012-03-27,"China",30353,"GKV","5D002c1","5","D","002c1","Tracker"
